"1947-1990","nroer_teaches","","plain_text","0","","und"
"Accountability","nroer_teaches","","plain_text","0","","und"
"Algebra","nroer_teaches","","plain_text","0","","und"
"Anatomy Of Plants","nroer_teaches","","plain_text","0","","und"
"Animal Husbandry","nroer_teaches","","plain_text","0","","und"
"Animals","nroer_teaches","","plain_text","0","","und"
"Animals Around Us","nroer_teaches","","plain_text","0","","und"
"Animals' Food","nroer_teaches","","plain_text","0","","und"
"Anthropological Studies","nroer_teaches","","plain_text","0","","und"
"Archaeological Material","nroer_teaches","","plain_text","0","","und"
"Architectural Analyses","nroer_teaches","","plain_text","0","","und"
"Atoms and Atomic Spectra","nroer_teaches","","plain_text","0","","und"
"Atoms and Molecules","nroer_teaches","","plain_text","0","","und"
"Balance Of Payment","nroer_teaches","","plain_text","0","","und"
"Biodiversity","nroer_teaches","","plain_text","0","","und"
"Biological Classification","nroer_teaches","","plain_text","0","","und"
"Biology","nroer_teaches","","plain_text","0","","und"
"Biomolecules","nroer_teaches","","plain_text","0","","und"
"Biotechnology","nroer_teaches","","plain_text","0","","und"
"Calculus","nroer_teaches","","plain_text","0","","und"
"Cartesian System","nroer_teaches","","plain_text","0","","und"
"Cells","nroer_teaches","","plain_text","0","","und"
"Challenges","nroer_teaches","","plain_text","0","","und"
"Change Of State","nroer_teaches","","plain_text","0","","und"
"Chemical Bonding","nroer_teaches","","plain_text","0","","und"
"Chemical Reactions","nroer_teaches","","plain_text","0","","und"
"Chemistry","nroer_teaches","","plain_text","0","","und"
"Circulatory System","nroer_teaches","","plain_text","0","","und"
"Cold War Era and Beyond","nroer_teaches","","plain_text","0","","und"
"Collections and Representation","nroer_teaches","","plain_text","0","","und"
"Colonialism in India","nroer_teaches","","plain_text","0","","und"
"Communication","nroer_teaches","","plain_text","0","","und"
"Communication Systems","nroer_teaches","","plain_text","0","","und"
"Comparison with Neighbours","nroer_teaches","","plain_text","0","","und"
"Complex Numbers","nroer_teaches","","plain_text","0","","und"
"Concepts and Processes","nroer_teaches","","plain_text","0","","und"
"Conic Sections","nroer_teaches","","plain_text","0","","und"
"Constitutional Assembly Debates","nroer_teaches","","plain_text","0","","und"
"Constitutional Framework","nroer_teaches","","plain_text","0","","und"
"Constitutional Order","nroer_teaches","","plain_text","0","","und"
"Constructions","nroer_teaches","","plain_text","0","","und"
"Constructions","nroer_teaches","","plain_text","0","","und"
"Consumers  and Production","nroer_teaches","","plain_text","0","","und"
"Contemporary Politics","nroer_teaches","","plain_text","0","","und"
"Continents and Countries","nroer_teaches","","plain_text","0","","und"
"Continuity and Differentiability","nroer_teaches","","plain_text","0","","und"
"Coordinate Geometry","nroer_teaches","","plain_text","0","","und"
"Coordination and Transport","nroer_teaches","","plain_text","0","","und"
"Coordination Compounds","nroer_teaches","","plain_text","0","","und"
"Cost and Revenue","nroer_teaches","","plain_text","0","","und"
"Craft and Trade","nroer_teaches","","plain_text","0","","und"
"Culture Identity and Society","nroer_teaches","","plain_text","0","","und"
"Current Electricity","nroer_teaches","","plain_text","0","","und"
"Customs and Traditions","nroer_teaches","","plain_text","0","","und"
"Data","nroer_teaches","","plain_text","0","","und"
"Data","nroer_teaches","","plain_text","0","","und"
"Decimals","nroer_teaches","","plain_text","0","","und"
"Democracy","nroer_teaches","","plain_text","0","","und"
"Democratic Upsurge and coalition politics","nroer_teaches","","plain_text","0","","und"
"Development","nroer_teaches","","plain_text","0","","und"
"Development","nroer_teaches","","plain_text","0","","und"
"Developmental Processes","nroer_teaches","","plain_text","0","","und"
"Digestive System","nroer_teaches","","plain_text","0","","und"
"Disasters","nroer_teaches","","plain_text","0","","und"
"Disasters and Management","nroer_teaches","","plain_text","0","","und"
"Early challenges","nroer_teaches","","plain_text","0","","und"
"Early Societies","nroer_teaches","","plain_text","0","","und"
"Ecology","nroer_teaches","","plain_text","0","","und"
"Economic Processes","nroer_teaches","","plain_text","0","","und"
"Economic Reforms","nroer_teaches","","plain_text","0","","und"
"Economics","nroer_teaches","","plain_text","0","","und"
"Economies and Livelihood","nroer_teaches","","plain_text","0","","und"
"Education and Identity","nroer_teaches","","plain_text","0","","und"
"Electoral Processes","nroer_teaches","","plain_text","0","","und"
"Electricity and Magnetism","nroer_teaches","","plain_text","0","","und"
"Electrochemistry","nroer_teaches","","plain_text","0","","und"
"Electromagnetic Waves","nroer_teaches","","plain_text","0","","und"
"Electromagnetism","nroer_teaches","","plain_text","0","","und"
"Electronic Devices","nroer_teaches","","plain_text","0","","und"
"Electronics","nroer_teaches","","plain_text","0","","und"
"Electrostatics","nroer_teaches","","plain_text","0","","und"
"Empires","nroer_teaches","","plain_text","0","","und"
"Endocrine System","nroer_teaches","","plain_text","0","","und"
"Energy","nroer_teaches","","plain_text","0","","und"
